Production_company,No. of movies
D.C. 7 Produzione,1
D.D.L.,4
D.K. Films,1
D.M. Film Productions,1
D.M.S. Films,6
D.M.V.B. Films,1
D.O. Producoes Cinematograficas,1
D.P. Skouras,1
D.R. Comunicazioni di massa,1
D.R.B. Production Company,1
D.R.M. Productions,3
D.S. Pictures,2
D.W. Griffith Productions,14
DACFILM Rome,1
DADA Film,1
DAL Productions,1
DANAIS Films,1
DAVID & GOLIAS,1
DB Entertainment,1
DBA Movies Production,1
DBM Films,1
DC Entertainment,1
DCDC,1
DCG Plus,1
DD Productions,4
DDM Film Corporation,3
DEF Filmproduktion NÃ¼rnberg,1
DEFA-Studio fÃ¼r Spielfilme,1
DEJ Productions,1
DEM Film,6
DEM,1
DENTSU Music And Entertainment,10
DFGS Yapim,1
DFI,1
DI Love,1
DIC Entertainment,2
DJ Films,1
DKP Films,1
DKZ Films,1
DLO Films Production,1
DMG Entertainment,1
DMS Films Limited,1
DMV Distribuzione,4
DMV Entertainment,1
DMVB Films,2
DMZ Comics,2
DNA Films,6
DNG Films,1
DNS-Filmproduktion,1
DPI,1
DRAX audio,4
DRIFE Productions,2
DRM Entertainment,1
DSL Film,1
DUEL Film Partners,1
DVC Entertainment,1
DWT Productions,1
DZB Productions,1
Da Huang Pictures,2
Da Ma Produzione,6
Da.Ma. Cinematografica,4
DaWa Movies,2
Daars Production,1
Dabill Productions,1
Dachi Films,1
Dacia Films,3
Dada Film,2
Dada Pictures,1
Dada-Filmi Oy,1
Dadas Film,1
Daddy W Productions,1
Dadi Century,2
Dae Yang Films Co. Ltd.,1
Dagmar Film Produktion,1
Dago GarcÃ­a Producciones,1
Dagsljus Filmequipment,1
Dai Gwok Film Company,1
Daiano Film,2
Daiei Eiga,1
Daiei Kyoto,5
Daiei Motion Picture Company,36
Daiei Studios,80
Daiei Tokyo Daini,2
Daiichi Eiga,4
Daiichi Shokai Co.,1
Daiichi,1
Daily Multimedia,1
Daimo Cinematografica,2
Dainichi-Eihai,1
Daisan Productions,1
Daisy 3 Pictures,1
Daiwa,1
Dakota Films,1
Dalia Productions,1
Dallas & Rusty LLC,1
Daly-Harris Productions,3
Damage Control Productions,1
Damaged Films,1
Damiano Films,1
Damien Odoul Films,2
Damoa Films,1
Dan Curtis Productions,1
Dan Films,1
Dan Garcia Films,1
Danan/Moreno Films,1
Dancing Girl,1
Danetan Pty. Ltd.,2
Danforth Studios,2
Danger Filmworks,1
Danger Inc.,1
Dangerous Productions,1
Dania Cinematografica,5
Dania Film,43
Daniel Fried Productions,1
Daniel Grodnik Productions,1
Daniel Scharf Productions,1
Daniel Zuta Filmproduktion,1
Danjaq,3
Danmarks Radio (DR),14
Dans-Svensk,1
Dansk Biograf Compagni,2
Dansk Novellefilm,2
Dansk Skalle,1
Dansk Tegnefilm Kompagni,1
Dansk Tegnefilm,3
Dante Entertainment,1
Dante Film LLC,1
Dany Film,1
Danziger Productions Ltd.,5
Dapper Cat Pictures,1
Darbor Films,1
Dargaud Films,2
Dargaud Marina,1
Darius Films,4
Dark Alley Films,1
Dark Black Films,3
Dark Blue Films,1
Dark Carnival Productions,1
Dark Castle Entertainment,4
Dark Coast Pictures,1
Dark Factory Entertainment,1
Dark Haze,1
Dark Highway Films (I),1
Dark Horse Entertainment,5
Dark Lantern Pictures,2
Dark Matter Productions,2
Dark Moon Pictures,1
Dark Night Pictures,1
Dark Pictures,1
Dark Reel Productions,1
Dark Sky Films,2
Darkbloom Productions,1
Darkwind Seven,1
Darlton,1
Daroma Productions,1
Darryl F. Zanuck Productions,7
Daryl Prince Productions,1
Daryl Wein Films,1
Das Films,1
Das Kleine Fernsehspiel (ZDF),1
Das Kleinfernsehspiel,1
Dash Films,3
Dashaka Films,1
Daska Films,1
Dating Games People Play LLC,1
Datong Film Company,1
Daunia,2
Dauntless Productions,1
Dave Bell Associates,1
Dave Christiano Films,1
Davian International Ltd.,1
David & David Investment Co. Production,1
David Blocker Productions,1
David Brown Productions,1
David Butler Productions,1
David Dent Productions,1
David Foster Productions,9
David Hannay Productions,3
David J. Woods Entertainment,1
David Kirschner Productions,3
David L. Loew Productions,1
David L. Loew-Albert Lewin,3
David L. Wolper Productions,1
David Leeds Productions,1
David Paradine Productions,3
David Susskind Productions,1
David Swift Productions,1
David V. Picker Productions,1
David W. Griffith Corp.,1
Davis Entertainment Classics,2
Davis Entertainment Filmworks,3
Davis Entertainment,11
Davis Films / Impact Pictures,1
Davis-Films,5
Davis-Panzer Productions,3
Davros Films,1
Dawn Associates,1
Dawn Productions,1
Dawson Productions,1
Dax Avant Productions,1
Dax Productions,1
Day Dreamer Films,2
Day For Night Motion Pictures,1
Dayal Creations,2
Dayavanti Pictures,1
Daybreak Pacific,1
Daybreak Pictures,1
Daybreak,1
Daydream Productions,1
Daydreamin' Pictures,1
Dayjob Films,1
Daylight Productions,1
Daystar Productions,3
De Christo Media,1
De Eerste Amsterdamse Filmassociatie van 1980,1
De Fina-Cappa,4
De Grunwald Productions,7
De Haven Productions,1
De Image Ltd.,1
De Laurentiis Entertainment Group (DEG),26
De Laurentiis Intermarco S.p.A.,1
De Laurentiis,2
De Line Pictures,1
De Palacio Films,2
De Passe Entertainment,1
De Sica Produzione,1
De Ville Films Inc.,1
De Warrenne Pictures,3
De/Center Communications Inc.,1
DeAPlaneta,1
DeHaven/Shapiro Productions,1
DeLaurentis and Jim Haas III Productions,1
DeMartini/Anderson Productions,1
DeMille Pictures Corporation,5
Dead Alive Productions,1
Dead Crow Productions,1
Dead Gentlemen Productions,1
Dead of Winter Production,1
Deadeye Films,2
Deadly Current Productions,1
Deaf Internacional Film s.r.l.,1
Deaf International,1
Deal Productions,1
Dean Dayan Cinematografica,1
Dean Film,13
Dean Production Group,1
Dean River Productions,2
Dear Film Produzione,3
Dear Film,1
Death Ride Productions LLC,1
Deathbeast Productions,1
Deblokada,1
Debo Film Ltd.,2
Debrod,1
Decade Pictures,1
Decatur-Staley Productions,1
December First Films,1
Decje Novine,1
Deckrim,1
Decla-Bioscop AG,8
Deco Entertainment,1
Deco Filmworks,1
Dedicate Ltd.,2
Dee Gee Entertainment,1
Deep River Productions,1
Deepa Mehta Films,1
Deeper Water,1
Deepjoy Picture,2
Deepwater Productions,1
Deerjen Films,3
Def Pictures,3
DefStar Records,1
Defector Films,1
Definitive Films,1
Degeto Film,4
Dehlavi Films,4
Deiz Production,1
Dejarme Disfrutar Films,1
Del Duca Films,2
Del Mar Productions,1
Del Tenny Productions,1
DelFlix Pictures,1
Delacheroy Films,2
Delante Films,3
Delaware Pictures,2
Delfino Entertainment,1
Delfino Film,1
Delfo Cinematografica,1
Delirium Associates,1
Delirium,3
Deliverance Productions,1
Delphi Film Foundation,1
Delphi Films,2
Delphi II Productions,3
Delphi III Productions,3
Delphi IV Productions,2
Delphi V Productions,3
Delphinus,1
Delta Entertainment,1
Delta Film Company,1
Delta Films,1
Delta,1
Deltamac Co.,1
Delux Productions,6
Deluxe Combo Films Inc.,1
Demi-Monde Productions,1
Demitri Samaha Productions,1
Demofilo Fidani,1
Demon Hunter Productions Inc.,1
Den Pictures Inc.,3
Dena Productions,3
Denholm Trading Inc.,1
Denial Venture,1
Denny Harris,1
Dentsu,15
Denver and Delilah Productions,1
Denwer Film,1
Deo-jon Film,1
Deon Taylor Enterprises,2
Departamento de Cultura del Gobierno Vasco,2
Departure Entertainment,1
Depth of Field,2
Deputy Corporation,2
Derby Cinematografica,1
Derick Williams Productions,1
Derio,3
Derio-International 13 Productions,1
Derrick Comedy Productions,1
Desert Dog Films Inc.,1
Desert Door Productions,1
Desert FLIX LLC,1
Desert Flower Filmproductions,1
Desert Hearts Productions,1
Desert Lotus Films,1
Desert Productions,1
Desert Rock Films,1
Desert Skye Entertainment,1
Desert Wind,1
Design Projects Inc.,1
Desilu Productions,1
DesperaDo,1
Desperate Inc.,1
Desperate Pictures,2
Destination Earth LLC,1
Destination Films,10
Destiny Entertainment Productions,1
Destiny Entertainment,2
Det Danske Filminstitut,25
Detonator Productions Inc.,1
Detour Filmproduction,4
Deulig Film,1
Deutsche Bundesrepublik,1
Deutsche Columbia TriStar Filmproduktion,4
Deutsche Film (DEFA),36
Deutsche Film Hansa,4
Deutsche Film- und Fernsehakademie Berlin (DFFB),3
Deutsche Forst-Filmproduktion GmbH,1
Deutsche Fox AG (Defa),1
Deutsche Lichtbild-Gesellschaft e.V. (DLG),1
Deutsche Universal-Film,3
Deva Cinematografica,1
Devar Films,1
Devgan Films,2
Devi Film Productions,1
Devi,1
Deviant Films,1
Devil's Child Picture Company,1
Devilhead Films,1
Devin Entertainment,2
Devine Entertainment,1
Devki Chitra,2
Devlin-Gittes/Tony Bill,1
Devon Film,14
Devon/Persky-Bright,1
Devonshire Productions,1
Devotion Films,1
Dewey-Obenchain Films,1
Dezenove Filmes,1
Dezenove Som e Imagem,2
Dharam Motion Pictures,1
Dharamsala,2
Dhariwal Films,1
Dharma Productions,10
Dharmendra,2
Di Bonaventura Pictures,2
Di Rosa Films,1
DiNovi Pictures,2
DiTocco Productions,1
Diablo Films,1
Diadem Films,1
Diagonal Pictures,7
Dial Films,1
Dialchi Film,2
DialÃ³g FilmstÃºdiÃ³,1
Diamant Film,1
Diamant Production,1
Diamond Dog,1
Diamond Films,1
Diana S.A.,1
Diana-Film,2
Diaphana Films,9
Diba Films,1
Dick Clark Productions,3
Dieter Geissler Filmproduktion,6
Different Tree Same Wood,1
Difilm,2
Difnei Cinematografica,1
Digi-Flicks Intl.,1
Digital 21,1
Digital Arts,1
Digital Facilities,1
Digital Film Lab,1
Digital Film,2
Digital Frontier,2
Digital Image Associates,1
Digital Magic,1
Digital Media Lab,1
Digital Nega,2
Digital Studios,1
Dikenga Films,3
Diler & Associados,6
Dillywood,1
Dim Sum Productions,1
Dimage,1
Dimeco Productions,1
Dimension Films,58
Dimension Pictures,5
Dimension VI,1
Dimitri De Grunwald Production,2
Dimitri Dimitriadis Film,1
Dimitri Villard Productions,1
Dinamik ProdÃ¼ksiyon,1
Dinamo Entertainment,1
Dinamo Story,2
Dinanath Kala Mandir,1
Dino De Laurentiis Company,29
Dino Filmprodukties,1
Dino Publishing JW,1
Dino de Laurentiis Cinematografica,22
Dino de Laurentiis Communications,1
Dionysio Cinematografica,1
Diplomat Pictures / Millco,1
DiputaciÃ³n Foral de Ãlava,1
Direction de la Cinematographie Nationale,1
Direction du Cinema de Haute Volta,1
Director's Cut,1
Directors Company,5
Directors Program,1
Directors' Association,1
Dirk Productions Ltd.,1
Dirty Martini Productions,1
Dirty Rat Films,1
Dirty Rice,1
DisCina,1
Discina Film,1
Disco Ormene,1
Discobolo Film,1
Discodog Productions,1
Discofilm,1
Discovery Productions,1
DiscÃ³bolo Films,1
Dishdogz Productions Inc.,1
Dismage,1
Disney Television Animation,6
Disneytoon Studios,1
Dispat Films,1
Disruption Entertainment,1
Dissolve Pictures,1
Distant Dreams Filmproduktion,2
Distant Horizon,14
Distant Justice Joint Venture,1
Dister Group,1
